team,solution,n,viability_median,viability_sd,recovery_median,recovery_sd
Crazy Cells,DMSO+FBS,3,85.39325714111328,4.01974779397433,37.43709404030624,2.2209834493359026
Crazy Cells,PBS only,3,60,13.877772311706876,2.959319644375723,1.137471677636515
Crazy Cells,Sucrose+FBS,3,76,3.7998872252345373,35.46693549253502,4.655303025626189
Cryo Masters,DMSO+FBS,3,81.37255096435547,1.036787564167085,40.92160771331009,0.28436701409901505
Cryo Masters,PBS only,3,75,33.67876638442851,1.4817006385143925,0.7523667333877672
Cryo Masters,Sucrose+FBS,3,76.66666412353516,8.284755357762984,28.571380575335752,3.279490894729728
